Category,License,Dependency,Notes
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # swingplus_2.13 # 0.5.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # topology_2.13 # 1.1.4,
LGPL,LGPL v3 (http://www.gnu.org/licenses/lgpl.txt),de.sciss # dispatch-core_2.13 # 0.1.1,
LGPL,LGPL v3 (http://www.gnu.org/licenses/lgpl.txt),de.sciss # dispatch-json4s-native_2.13 # 0.1.1,
LGPL,LGPL v3+ (http://www.gnu.org/licenses/lgpl-3.0.txt),de.sciss # treetable-java # 1.6.1,
LGPL,LGPL v3+ (http://www.gnu.org/licenses/lgpl-3.0.txt),de.sciss # treetable-scala_2.13 # 1.6.1,
LGPL,"The GNU Lesser General Public License, Version 2.1 (https://www.gnu.org/licenses/old-licenses/lgpl-2.1.txt)",org.jflac # jflac-codec # 1.5.2,
MIT,MIT (https://raw.githubusercontent.com/Sciss/LinKernighanTSP/main/LICENSE),de.sciss # linkernighantsp_2.13 # 0.1.3,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),de.sciss # scalariform_2.13 # 0.2.8,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.rogach # scallop_2.13 # 4.0.3,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.31,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-simple # 1.7.31,
OFL,DejaVu Fonts License (https://dejavu-fonts.github.io/License.html),io.github.dejavu-fonts # dejavu-fonts # 2.37,
unrecognized,GNU Lesser General Public Licence (http://www.gnu.org/licenses/lgpl.txt),de.sciss # scala-chart_2.13 # 0.8.0,
unrecognized,GNU Lesser General Public Licence (http://www.gnu.org/licenses/lgpl.txt),org.jfree # jcommon # 1.0.23,
unrecognized,GNU Lesser General Public Licence (http://www.gnu.org/licenses/lgpl.txt),org.jfree # jfreechart # 1.0.19,
unrecognized,none specified (none specified),lucene # lucene # 1.4.3,
